SKU,Nombre,Precio,Marca,Laboratorio,Codigo_Barras_1,Codigo_Barras_2,Codigo_Barras_3,Codigo_Barras_4,Categoria,Es_Medicamento
1,102 Años Plus Isa Comprimido X30,18690.7,102 A#OS,Millet-Gramon,7791984000485,7790839000861,7790839980422,,Suplementos y Complementos,true
10,5-Asa Com 400X30,96024.2,Dominguez,Dominguez,7795327061164,,,,Medicamentos Bajo Receta,true
10017,Pneumovax 23 Amp X1,148191,Msd,Msd,7797991146598,7795355998050,,,Medicamentos Bajo Receta,true
10018,"Podoxin Sol X3,5",19810,Cassara,Cassara,7795373011427,,,,Medicamentos Bajo Receta,true
10019,Poen Caina Gts X10,10377.3,Poen,POEN,7795368001570,,,,Medicamentos Bajo Receta,true
10023,Poenbioptal Nf Sol X5,6997.97,Poen,POEN,7795368001655,,,,Medicamentos Bajo Receta,true
10027,Poenkerat Gts X5,14677,Poen,POEN,7795368001051,,,,Medicamentos Bajo Receta,true
10029,"Poentimol 0,50% Gts X5",12948.3,Poen,POEN,7795368000160,,,,Medicamentos Bajo Receta,true
10030,Polper B12 Amp X10,25087.9,Casasco,Casasco,7791909414212,,,,Medicamentos Bajo Receta,true
10031,Polper B12 Amp X30,63753.3,Casasco,Casasco,7791909414458,,,,Medicamentos Bajo Receta,true
10035,Polper Calcio Mag.Com X30,26119.3,Casasco,Casasco,7791909412904,,,,Medicamentos Bajo Receta,true
10054,Polioftal Gts X5,800.26,Max Vision Srl,Max Vision Srl,7791763000323,7798009272988,7798002630389,,Medicamentos Bajo Receta,true
10055,Polirreumin Com X60,39757,Trb Pharma,Trb Pharma,7795371458460,,,,Medicamentos Bajo Receta,true
10058,Polper Vascular Amp X30,92000,Casasco,Casasco,7791909414908,,,,Medicamentos Bajo Receta,true
10060,Polper Vascular Com X30,94099.2,Casasco,Casasco,7791909416148,,,,Medicamentos Bajo Receta,true
10074,Ponaris Com 150X4,30953.3,Panalab,Panalab,7798051850172,,,,Medicamentos Bajo Receta,true
10075,Ponaris Com 150X8,49588.8,Panalab,Panalab,7798051850233,,,,Medicamentos Bajo Receta,true
10076,Crema de Limpieza Pond's C 100gr,4459.15,POND S,UNILEVER,7501056324889,,,,Cremas y Máscaras Faciales,
10078,Crema Humectante Pond's Facial S 100gr,4458.3,POND S,UNILEVER,7501056326142,,,,Cremas y Máscaras Faciales,
10083,Crema Facial Pond'S Nutritiva Humectante 50 G,2784.43,POND S,UNILEVER,7501056325442,7791293025155,,,Cremas y Máscaras Faciales,
10089,Ponstil Fte Com X100,46126,Elea Phoenix,Elea Phoenix,7792690010775,,,,Medicamentos Bajo Receta,true
10090,Ponstil Fte Com X15,6335.37,Elea Phoenix,Elea Phoenix,7792690023041,,,,Medicamentos Bajo Receta,true
10091,Ponstil Fte Com X30,14140.4,Elea Phoenix,Elea Phoenix,7792690023034,,,,Medicamentos Bajo Receta,true
10107,Poviral Dermico Cre X5,10784.1,Roemmers,Roemmers,7795345125329,7795345002767,,,Medicamentos Bajo Receta,true
10123,Optium Freestyle Thin Lancetas X200,2132.24,Abbot,Abbott,93815986829,93815971375,,,Venta Libre,true
10129,"Prednefrin 0,12% Gts X10",2359.35,Allergan,Allergan,7795316000648,,,,Medicamentos Bajo Receta,true
10184,Previscan Com 600X30,40445.1,Nova Argentia,Nova Argentia,7798129414077,7795380003866,7798035830206,,Medicamentos Bajo Receta,true
10191,Extra Lubricado Azul Preservativos X12Unid.,16910.6,Prime,BUHL,7791519000089,7791519700699,,,Bienestar Sexual,
10192,Preservativos Prime Blanco Espermicida Caja x12u,16910.6,Prime,BUHL,7791519000102,,,,Bienestar Sexual,
10193,Super Fino Gris Preservativos X12Unid.,15373.2,Prime,BUHL,7791519000072,,,,Bienestar Sexual,
10194,Texturado Rojo Preservativos X12Unid.,15373.2,Prime,BUHL,7791519000096,,,,Bienestar Sexual,
10195,Preservativo Prime Extra Lubricado X3 Un,4595.29,Prime,BUHL,7791519000676,7791519200052,,,Bienestar Sexual,
10196,Preservativo Prime Espermicida X3 Un,4595.29,Prime,BUHL,7791519200076,,,,Bienestar Sexual,
10198,Preservativo Prime Superfino X3 Un,4177.51,Prime,BUHL,7791519200045,,,,Bienestar Sexual,
10199,Preservativo Prime Texturado X3 Un,4177.51,Prime,BUHL,7791519200069,,,,Bienestar Sexual,
10200,Preservativo Prime Anatomico X3 Un,4177.51,Prime,BUHL,7791519200021,,,,Bienestar Sexual,
10201,Primosiston Amp X1,13988.5,Bayer,Bayer,7501303430509,7795320006414,,,Medicamentos Bajo Receta,true
10240,Procelac Cap 10X28,15885.6,Teva (Ex-Ivax),TEVA (EX-IVAX),7795350022972,,,,Medicamentos Bajo Receta,true
10242,Procelac Cap 20X28,28276.3,Teva (Ex-Ivax),TEVA (EX-IVAX),7795350022910,,,,Medicamentos Bajo Receta,true
10243,Procetoken Com 300X30,56423.8,Bernabo-Microsu,BERNABO-MICROSU,7792175000369,,,,Medicamentos Bajo Receta,true
1025,Aprovel Com 150X28,65627.9,Aventis Pharma,Aventis Pharma,7795312108270,7795353100028,,,Medicamentos Bajo Receta,true
10250,Proluton Depot Amp 500X1,36446.3,Bayer,Bayer,7501303419825,7795320007015,,,Medicamentos Bajo Receta,true
10260,"Proflax 0,25% Sol X5",10267.1,Sidus,Sidus,7795356977603,,,,Medicamentos Bajo Receta,true
10261,"Proflax 0,50% Sol X5",23745.3,Sidus,Sidus,7795356977801,,,,Medicamentos Bajo Receta,true
10262,Progest Com 200X15,60594.6,Elea Phoenix,Elea Phoenix,7796285050139,,,,Medicamentos Bajo Receta,true
10263,Progest Com X30,56838.3,Elea Phoenix,Elea Phoenix,7796285048761,,,,Medicamentos Bajo Receta,true
10273,Procto Ikatral Pom X10,16517.5,Baliarda,Baliarda,7795338001210,,,,Medicamentos Bajo Receta,true
10274,Procto Ikatral Pom X30,36627.8,Baliarda,Baliarda,7795338001227,,,,Medicamentos Bajo Receta,true
1028,Aprovel Com 300X28,86276.7,Aventis Pharma,Aventis Pharma,7795312108287,7795353100035,,,Medicamentos Bajo Receta,true
10305,Propoleo Caramelos X10,3849,Natufarma,NATU,7795379200245,,,,Venta Libre,true
10306,Propranolol Com 10X20,9783.85,Gador,Gador,7792183105605,,,,Medicamentos Bajo Receta,true
10307,Propranolol Com 40X100,41253.8,Gador,Gador,7792183105681,,,,Medicamentos Bajo Receta,true
10308,Propranolol Com 40X50,20660.3,Gador,Gador,7792183105667,,,,Medicamentos Bajo Receta,true
10317,Prostacur Com X100,48189.5,Finadiet,Finadiet,7791171000656,,,,Medicamentos Bajo Receta,true
10318,Prostene Com X30,48090.9,Teva (Ex-Ivax),TEVA (EX-IVAX),7795350020060,,,,Medicamentos Bajo Receta,true
10319,Prostacur Com X50,27487.5,Finadiet,Finadiet,7791171000649,,,,Medicamentos Bajo Receta,true
10341,Provisual Cto Gts X5,7273.1,Poen,POEN,7795368000047,,,,Medicamentos Bajo Receta,true
10354,Loción Incolora Prurisedán Alivia y Calma Picazón x60ml,9762.12,Prurisedan,Andromaco,7793742005992,,,,Medicamentos Bajo Receta,true
10384,Pulmocler Suspension X120,14850,Pulmocler,Monserrat,7795334000392,,,,Medicamentos Bajo Receta,true
10436,Pyralvex Berna Gts X10,13036.8,Lazar,Lazar,7795347000501,,,,Medicamentos Bajo Receta,true
10440,Quadion Cre X15,8338.43,Fortbenton,Fortbenton,7794428011078,,,,Medicamentos Bajo Receta,true
10441,Quadion Sha X250,18159.7,Fortbenton,Fortbenton,7794428011214,,,,Medicamentos Bajo Receta,true
